update_count        point_num           cluster_time        segmentation_time   match_time          total_time
1                   1978                0.00358796          0.00122118          4.4726e-05          0.00587592
2                   2228                0.00389487          0.00129935          6.15215e-05         0.00626602
3                   2176                0.00396413          0.00131157          5.8338e-05          0.00631756
4                   2093                0.00396447          0.00134496          5.58668e-05         0.00634137
5                   2225                0.00400353          0.00138924          5.67026e-05         0.00644051
6                   2180                0.00403483          0.00138485          5.54845e-05         0.00646863
7                   2035                0.00397015          0.00136697          5.50169e-05         0.00639911
8                   2016                0.00393242          0.00136604          5.63668e-05         0.00635143
9                   2026                0.00390979          0.00135759          5.64106e-05         0.00631118
10                  1966                0.0038784           0.00134671          5.55448e-05         0.00626533
11                  2053                0.00386607          0.00134504          5.53519e-05         0.00624885
12                  2058                0.00385838          0.00133563          5.42004e-05         0.00623436
13                  1916                0.00383457          0.00132255          5.35503e-05         0.00619339
14                  2031                0.00383398          0.00131979          5.33359e-05         0.00618383
15                  2000                0.00383091          0.00131448          5.38723e-05         0.00617015
16                  1881                0.00380877          0.00131173          5.43654e-05         0.00614244
17                  1963                0.00379747          0.00131201          5.44229e-05         0.00613
18                  1906                0.00378301          0.00131037          5.3992e-05          0.00611733
19                  1767                0.00375207          0.00130557          5.39842e-05         0.0060841
20                  1978                0.00375693          0.00133389          5.56417e-05         0.00609107
21                  1759                0.00375556          0.00135181          5.78805e-05         0.00609442
22                  1720                0.00373592          0.00135741          6.09954e-05         0.00606618
23                  1904                0.00373607          0.00136785          6.30973e-05         0.00606246
24                  1751                0.00373112          0.00137187          6.55868e-05         0.00604454
25                  1522                0.00370602          0.00136391          6.68247e-05         0.00600269
26                  1803                0.00372424          0.00137772          6.88876e-05         0.00602478
27                  1989                0.00373992          0.00139405          7.03214e-05         0.00606416
28                  2035                0.00375362          0.00140831          7.32379e-05         0.00607964
29                  2151                0.00377074          0.00142135          7.65923e-05         0.00611258
30                  1934                0.00377039          0.00142296          7.85701e-05         0.0061068
31                  2094                0.00377627          0.0014323           8.09455e-05         0.00612048
32                  2219                0.00380021          0.00145073          8.28656e-05         0.00615548
33                  1926                0.00379578          0.00145839          8.49545e-05         0.00615577
34                  1916                0.00378978          0.0014657           8.68226e-05         0.00615403
35                  2143                0.00380212          0.00148791          8.81017e-05         0.00620529
36                  1970                0.00379592          0.00149017          8.89534e-05         0.0061976
37                  1977                0.00380921          0.00149533          8.94969e-05         0.0062084
38                  2196                0.00382309          0.00150449          9.03949e-05         0.00622499
39                  2318                0.00383857          0.00153019          0.000100379         0.0062662
40                  2081                0.003837            0.00153585          0.000101718         0.00626769
41                  2208                0.00384192          0.00154636          0.000103084         0.00627586
42                  2346                0.00385721          0.00156122          0.000105026         0.00629538
43                  2208                0.0038628           0.00156777          0.000105682         0.00630311
44                  2173                0.00386316          0.00157268          0.000107154         0.00630503
45                  2182                0.00386395          0.00158386          0.000108106         0.00631037
46                  2279                0.00387144          0.0015941           0.000109657         0.00631917
47                  2440                0.00388817          0.00160606          0.000110343         0.00634122
48                  2257                0.00389572          0.00161389          0.000111231         0.00635082
49                  2243                0.00390232          0.0016253           0.000113141         0.00636389
50                  2236                0.00390673          0.00163352          0.000114333         0.00636798
51                  1726                0.00389436          0.00163546          0.000114405         0.00635846
52                  2033                0.00389423          0.00163804          0.000114445         0.00636644
53                  2252                0.00390259          0.00164302          0.000114951         0.00637887
54                  1545                0.00388392          0.00163951          0.000115247         0.00635753
55                  1820                0.00387743          0.00164197          0.000115564         0.00635593
56                  1923                0.00387289          0.00164096          0.000116305         0.00634594
57                  2043                0.00387413          0.00164074          0.000116804         0.00634379
