update_count        point_num           cluster_time        segmentation_time   match_time          total_time
1                   2333                0.00628947          0.00162855          0.000159213         0.00918068
2                   2206                0.00584336          0.00160181          0.000191663         0.00868941
3                   2096                0.00535494          0.00153752          0.000159646         0.00805031
4                   2148                0.00516048          0.00149579          0.000142942         0.0078057
5                   2193                0.00515903          0.00150075          0.000143147         0.00782419
6                   2211                0.00510122          0.00151055          0.00013988          0.00778599
7                   2227                0.00507311          0.00151305          0.000145792         0.00776468
8                   2125                0.00501005          0.00149548          0.000144149         0.00768671
9                   2046                0.00493457          0.00147525          0.000142503         0.00758419
10                  2168                0.00491021          0.00147613          0.000139135         0.00754912
11                  2094                0.00487296          0.00146684          0.000135456         0.00749273
12                  1987                0.00481269          0.00145382          0.000133262         0.00741161
13                  2081                0.00478631          0.00145204          0.000129256         0.00737941
14                  1988                0.00473465          0.00143937          0.00012555          0.0073056
15                  2086                0.00472693          0.00143947          0.000124268         0.00729308
16                  2060                0.0047091           0.00143716          0.000122666         0.00726711
17                  1958                0.00467772          0.00143455          0.000121672         0.00722648
18                  2004                0.00466438          0.00143315          0.000119835         0.0072074
19                  2021                0.00465126          0.00143116          0.00011851          0.00719084
20                  1868                0.00461549          0.00142272          0.000115612         0.0071428
21                  1929                0.00459588          0.00141531          0.000113334         0.00710984
22                  2026                0.00459161          0.00141217          0.000112243         0.00710101
23                  1802                0.00455236          0.00140135          0.000112034         0.00704805
24                  2098                0.00455239          0.00140206          0.000110923         0.0070455
25                  1959                0.00453996          0.00140337          0.000112077         0.00703042
26                  1988                0.00452792          0.00140381          0.000111633         0.00701415
27                  1940                0.00451641          0.00139991          0.00011201          0.00699827
28                  1882                0.00449657          0.00139457          0.000113095         0.00697004
29                  2002                0.0044942           0.00139735          0.000113554         0.00696661
30                  2050                0.00449764          0.00139778          0.000114144         0.00696626
31                  2190                0.00451217          0.00140265          0.000115874         0.00698501
32                  1990                0.00450707          0.00140314          0.000115689         0.00697729
33                  2185                0.0045197           0.00140617          0.000114846         0.00698993
34                  2034                0.00451481          0.00140187          0.000113726         0.00697933
35                  1968                0.00450902          0.00140186          0.000112947         0.00696849
36                  1970                0.00450058          0.00139901          0.000112054         0.00695458
37                  2095                0.0045061           0.00139754          0.000111146         0.00695912
38                  2041                0.00450859          0.00139924          0.000110837         0.00696162
39                  2028                0.00451047          0.00140116          0.000111273         0.00696478
40                  2224                0.00452659          0.00140584          0.000111435         0.0069858
41                  2111                0.0045279           0.00140844          0.00011137          0.00698893
42                  2154                0.00453105          0.00140972          0.000111675         0.00699162
43                  2180                0.00453946          0.0014144           0.000111525         0.00700595
44                  1916                0.0045288           0.001411            0.000111114         0.00698914
45                  2192                0.004535            0.00141692          0.000110926         0.007
46                  2153                0.0045372           0.00141976          0.000110878         0.0070072
47                  2063                0.00453493          0.00142114          0.000110676         0.00700629
48                  2317                0.00455749          0.00142764          0.000110405         0.00703592
49                  2094                0.00455089          0.0014274           0.000110417         0.00703262
50                  2187                0.00455145          0.00142915          0.000110286         0.00703514
51                  2386                0.00456818          0.00143451          0.000110034         0.00705885
52                  2367                0.0045763           0.00143904          0.000109823         0.00707327
53                  2265                0.00458041          0.00144303          0.000109746         0.00708235
54                  2327                0.00458512          0.00144831          0.000109898         0.00709436
55                  2406                0.00462405          0.00145813          0.000109937         0.00714747
56                  2289                0.00463511          0.00146307          0.000109763         0.00716556
57                  2365                0.00467374          0.00147647          0.000111431         0.0072271
58                  2424                0.00472796          0.00149124          0.000111581         0.00730951
59                  2146                0.00472271          0.00148966          0.000111556         0.00730232
60                  2221                0.00479563          0.00151398          0.000114661         0.00741793
61                  2524                0.00485761          0.00153533          0.000116052         0.00751173
62                  2383                0.00489399          0.00154911          0.000116671         0.00756828
63                  2236                0.00491792          0.00155857          0.000116947         0.00760874
64                  2503                0.00499158          0.00158393          0.000118171         0.00772226
65                  2262                0.00504593          0.0016027           0.00011906          0.00780542
66                  2514                0.00509168          0.00161168          0.000118976         0.00786227
67                  2503                0.00516347          0.00163046          0.000120208         0.00796039
68                  2381                0.00516201          0.00163091          0.000119661         0.00795938
69                  2361                0.00516921          0.00163411          0.000119492         0.00797132
70                  2504                0.00518887          0.00164506          0.000119436         0.00800781
71                  2250                0.00523255          0.00165427          0.000119538         0.00806513
72                  2561                0.00533507          0.00168876          0.000120614         0.00822218
73                  2584                0.00539838          0.00170822          0.000121368         0.00831761
74                  2219                0.00541911          0.00171536          0.000121474         0.00835016
75                  2565                0.00545833          0.00172692          0.000121414         0.00840745
76                  2577                0.00550429          0.00174407          0.000121862         0.00847796
77                  2493                0.0055333           0.00175153          0.000121912         0.00852121
78                  2542                0.00553867          0.00175479          0.000121993         0.00853331
79                  2474                0.00556843          0.00176558          0.000122534         0.00857986
80                  2403                0.0055784           0.00177248          0.00012287          0.00859887
81                  2533                0.00562232          0.00178352          0.000123146         0.00865737
82                  2488                0.00561946          0.00178629          0.000122975         0.00865736
83                  2545                0.00568177          0.00180645          0.000123985         0.0087542
84                  2491                0.00571601          0.00181714          0.000124633         0.00880615
85                  2428                0.00573526          0.00182083          0.000124351         0.00882905
86                  2336                0.00575475          0.00183045          0.000125195         0.00886234
87                  2589                0.00576269          0.00183256          0.000125018         0.00887269
