update_count        point_num           cluster_time        segmentation_time   match_time          total_time
1                   2223                0.00430029          0.00146724          4.234e-05           0.00681511
2                   2188                0.00421997          0.00139336          6.1471e-05          0.00667905
3                   2159                0.00418023          0.00135085          5.5344e-05          0.00660378
4                   2164                0.00415341          0.00136614          5.26895e-05         0.00658596
5                   2284                0.0041964           0.00140849          5.35096e-05         0.00667768
6                   2153                0.00416717          0.00140735          5.38583e-05         0.00665627
7                   2127                0.00412354          0.00140311          5.49183e-05         0.00660778
8                   2235                0.00414327          0.00140502          5.42253e-05         0.00663097
9                   2228                0.00414253          0.00140826          5.44391e-05         0.00663894
10                  1916                0.00407913          0.00138457          5.39478e-05         0.00654363
11                  2015                0.00404401          0.00137606          5.49615e-05         0.00648971
12                  2159                0.00404611          0.00137358          5.42195e-05         0.00649316
13                  1886                0.00399084          0.00135452          5.29235e-05         0.00641497
14                  1948                0.0039657           0.00134535          5.27504e-05         0.00637213
15                  1939                0.00394146          0.00133738          5.24835e-05         0.00633084
16                  1798                0.00389428          0.00132566          5.27227e-05         0.00626369
17                  1950                0.00386999          0.00132414          5.22334e-05         0.0062372
18                  1868                0.00385135          0.00132228          5.18927e-05         0.00621101
19                  1758                0.00381411          0.00131345          5.17031e-05         0.00615939
20                  1926                0.00380077          0.0013103           5.11539e-05         0.006144
21                  2016                0.00381044          0.00131013          5.0995e-05          0.00615256
22                  2000                0.00380422          0.00130951          5.07506e-05         0.00614534
23                  2108                0.0038129           0.00131294          5.05303e-05         0.00615599
24                  1932                0.00380133          0.00131209          5.0336e-05          0.00613814
25                  1801                0.00416225          0.00142724          5.50747e-05         0.00669532
26                  2092                0.0041854           0.00145347          5.51124e-05         0.00674927
27                  2066                0.00420428          0.0014616           5.52517e-05         0.00678262
28                  1820                0.00417389          0.00145342          5.51402e-05         0.00673498
29                  1954                0.0042439           0.00147463          5.63458e-05         0.00683341
30                  1905                0.00431095          0.0014906           5.75504e-05         0.00692614
31                  2103                0.00450031          0.00154689          5.90274e-05         0.00718607
32                  2007                0.00457871          0.00158096          6.04163e-05         0.00732378
33                  2010                0.0047318           0.00161893          6.21259e-05         0.00754792
34                  2073                0.00476491          0.00163365          6.25702e-05         0.00760209
35                  2094                0.00478055          0.0016355           6.26562e-05         0.00762092
36                  2146                0.00489653          0.0016577           6.3209e-05          0.00777778
37                  2078                0.00488083          0.00165359          6.34201e-05         0.00775664
38                  2016                0.00486186          0.00165006          6.35653e-05         0.00773025
39                  2176                0.00485127          0.00164891          6.34846e-05         0.00771446
40                  2142                0.00483735          0.00164586          6.32287e-05         0.0076928
41                  2164                0.00489161          0.0016621           6.36902e-05         0.00777364
42                  2185                0.00487505          0.00166041          6.35325e-05         0.00775003
43                  2124                0.00486226          0.00165612          6.34982e-05         0.00772716
44                  1995                0.0048373           0.00164885          6.33651e-05         0.00768935
45                  2162                0.00482336          0.00165343          6.36935e-05         0.00767773
46                  2139                0.00480715          0.00165195          6.3462e-05          0.00765721
47                  2062                0.00478874          0.00164447          6.34286e-05         0.00762872
48                  2022                0.004766            0.00163763          6.33982e-05         0.00759566
49                  2180                0.00475084          0.00163586          6.32767e-05         0.00757363
50                  2341                0.00474699          0.00163562          6.3128e-05          0.00756749
51                  2418                0.00475072          0.00163828          6.2963e-05          0.00757525
52                  2287                0.0047435           0.00163649          6.27709e-05         0.00756572
53                  2095                0.00472597          0.00163442          6.27799e-05         0.00754367
54                  2289                0.0047174           0.00163338          6.26452e-05         0.00753173
55                  2313                0.00471079          0.00163333          6.24924e-05         0.00752418
56                  2390                0.00470548          0.00163466          6.23574e-05         0.00751964
57                  2471                0.00470625          0.00163759          6.22789e-05         0.00752381
58                  2244                0.00469763          0.00163436          6.23168e-05         0.00751032
59                  2453                0.00469743          0.00163771          6.2339e-05          0.0075137
60                  2501                0.00470151          0.00164208          6.23004e-05         0.0075216
