update_count        point_num           cluster_time        segmentation_time   match_time          total_time
1                   995                 0.00223663          0.000832992         4.0123e-05          0.00331125
2                   1044                0.0022838           0.00082798          6.57105e-05         0.0050395
3                   1010                0.00225559          0.000793234         5.47497e-05         0.00447111
4                   940                 0.00220324          0.00078562          5.0196e-05          0.00414689
5                   903                 0.00215654          0.00076713          4.6917e-05          0.00392789
6                   899                 0.00211491          0.000751074         4.51437e-05         0.00376769
7                   842                 0.00205659          0.000738419         4.5865e-05          0.00361327
8                   856                 0.00202298          0.000714479         4.47586e-05         0.00349268
9                   862                 0.00200356          0.00069186          4.34211e-05         0.00340802
10                  768                 0.00195711          0.000667186         4.26599e-05         0.00329636
11                  749                 0.00191822          0.000655494         4.18736e-05         0.00321386
12                  712                 0.00188199          0.000639361         4.09989e-05         0.00313548
13                  728                 0.00185619          0.000627537         4.04734e-05         0.00307669
14                  795                 0.00184598          0.000619878         4.00021e-05         0.00303667
15                  752                 0.00182682          0.00060984          3.94085e-05         0.00298952
16                  752                 0.0018024           0.000602787         3.88148e-05         0.00294372
17                  855                 0.00180445          0.000601617         3.82044e-05         0.00293382
18                  821                 0.00180039          0.000601204         3.76185e-05         0.00291805
19                  830                 0.00180055          0.000601632         3.71101e-05         0.00290804
20                  867                 0.00180682          0.000602515         3.671e-05           0.00290576
21                  880                 0.00184608          0.000611144         3.65855e-05         0.0029519
22                  772                 0.00188957          0.000627338         3.6963e-05          0.00300723
23                  865                 0.00192714          0.00064512          3.70539e-05         0.00306209
24                  853                 0.00203011          0.000677652         3.8467e-05          0.00320385
25                  864                 0.00206085          0.000687525         3.88635e-05         0.00324132
26                  909                 0.00214606          0.000718683         3.96503e-05         0.00336656
27                  940                 0.00216933          0.000731294         3.98094e-05         0.00340006
28                  708                 0.00216659          0.000734227         4.04499e-05         0.00339718
29                  864                 0.0021876           0.000739943         4.07441e-05         0.00341758
30                  1005                0.00220272          0.000746173         4.06598e-05         0.00343121
31                  950                 0.00223661          0.0007616           4.10901e-05         0.00348191
32                  946                 0.00226155          0.000772844         4.15969e-05         0.00351761
33                  989                 0.00231449          0.000790916         4.23018e-05         0.00360963
34                  1191                0.00236024          0.000806249         4.27321e-05         0.00367478
35                  1140                0.00237682          0.00081155          4.33149e-05         0.00370034
36                  1268                0.00242899          0.000833795         4.38232e-05         0.00377946
37                  1096                0.00249758          0.000869591         4.55722e-05         0.00389396
38                  1341                0.00255459          0.000891398         4.6579e-05          0.00398126
39                  1566                0.00264136          0.000924098         4.78083e-05         0.00411845
40                  1675                0.00267861          0.000940128         4.83816e-05         0.00416836
41                  1616                0.00281708          0.00099008          5.07401e-05         0.00436594
42                  1163                0.00283913          0.000997558         5.14317e-05         0.00438953
43                  1734                0.00293508          0.00103146          5.26761e-05         0.00452021
44                  1814                0.002984            0.00104732          5.32313e-05         0.00458171
45                  1846                0.00303769          0.00106468          5.38464e-05         0.00464894
46                  1751                0.00309146          0.00108192          5.43868e-05         0.00471795
47                  1110                0.00312288          0.00109495          5.49509e-05         0.00476087
48                  1524                0.00319756          0.00112177          5.58895e-05         0.00486271
49                  1275                0.00323432          0.00113435          5.62542e-05         0.00491347
50                  1466                0.00327966          0.00115109          5.69567e-05         0.00497092
51                  1401                0.00333055          0.00116894          5.80777e-05         0.00504139
52                  1752                0.00338448          0.00118328          5.86698e-05         0.00510317
53                  1671                0.00343271          0.00119681          5.90719e-05         0.0051631
54                  1895                0.00350032          0.00121529          5.93127e-05         0.00525837
55                  1793                0.00353195          0.00122422          5.93433e-05         0.00530358
56                  948                 0.00351823          0.00122033          5.93401e-05         0.00528885
57                  1384                0.00355471          0.0012306           5.95571e-05         0.00535665
58                  1104                0.0035507           0.00122857          5.94374e-05         0.00534983
59                  1706                0.00361633          0.00124955          6.01696e-05         0.0054449
60                  1604                0.00363487          0.00125411          6.02033e-05         0.00547217
61                  1825                0.00367275          0.00127004          6.02056e-05         0.00552912
62                  1587                0.00369621          0.0012771           6.00939e-05         0.00556831
63                  1073                0.0036853           0.00127483          5.96504e-05         0.0055583
64                  1227                0.00368296          0.00127427          5.91647e-05         0.0055591
65                  1967                0.00374342          0.00129386          5.9064e-05          0.00564189
66                  2111                0.00378086          0.00130275          5.8906e-05          0.00568781
67                  2507                0.00385462          0.00132574          5.89275e-05         0.00579093
68                  2361                0.00391561          0.0013451           5.88958e-05         0.00587584
69                  2462                0.00399065          0.00137236          5.92017e-05         0.00598359
70                  2615                0.00409173          0.00140289          5.95019e-05         0.00612894
71                  2170                0.00414352          0.00142344          5.99665e-05         0.00620584
72                  2356                0.00417737          0.00143708          6.00858e-05         0.00625631
73                  2157                0.00420517          0.00144747          6.02645e-05         
