update_count        point_num           cluster_time        segmentation_time   match_time          total_time
1                   972                 0.00214748          0.000780273         3.5135e-05          0.0031579
2                   1036                0.00223963          0.000805921         6.3752e-05          0.00497378
3                   716                 0.00201251          0.000697476         5.50003e-05         0.00410122
4                   729                 0.00189527          0.000643088         4.73708e-05         0.00366124
5                   794                 0.00185586          0.000612795         4.36068e-05         0.00342388
6                   696                 0.00178197          0.000577696         4.10213e-05         0.00320321
7                   725                 0.0017223           0.000561625         3.93466e-05         0.00304916
8                   853                 0.00173413          0.000564877         3.81705e-05         0.00301165
9                   863                 0.00174937          0.000567374         3.73657e-05         0.00298711
10                  823                 0.00175326          0.000570073         3.65059e-05         0.00295833
11                  805                 0.00176555          0.000579121         3.62874e-05         0.00295523
12                  851                 0.0020158           0.000651403         3.90238e-05         0.00329542
13                  770                 0.00197903          0.000640309         3.84219e-05         0.00322068
14                  959                 0.0020163           0.000653325         3.82974e-05         0.00325405
15                  926                 0.00204991          0.000660277         3.80638e-05         0.00328348
16                  823                 0.00202681          0.000657249         3.7798e-05          0.00324137
17                  878                 0.00205385          0.000660944         3.77204e-05         0.00326261
18                  835                 0.00206527          0.00066176          3.75743e-05         0.00326711
19                  879                 0.00207552          0.000660272         3.7615e-05          0.00326395
20                  903                 0.00209231          0.000661486         3.75693e-05         0.00327448
21                  776                 0.00206865          0.000654503         3.74176e-05         0.00323205
22                  856                 0.00208034          0.000662069         3.79048e-05         0.0032431
23                  843                 0.00207284          0.000659669         3.79168e-05         0.00322601
24                  904                 0.00211764          0.000672646         3.81599e-05         0.0032829
25                  887                 0.00236829          0.000749688         4.21202e-05         0.00363904
26                  931                 0.00239445          0.000770488         4.20985e-05         0.00368309
27                  919                 0.00241904          0.000778353         4.23852e-05         0.00371501
28                  896                 0.00242458          0.000780434         4.2663e-05          0.00371551
29                  900                 0.00265151          0.000843919         4.66608e-05         0.00402679
30                  901                 0.00263032          0.000838017         4.66671e-05         0.00399056
31                  918                 0.00264617          0.000846993         4.72807e-05         0.00401556
32                  811                 0.00276437          0.000890141         5.07372e-05         0.00418614
33                  728                 0.00273175          0.000877986         5.03674e-05         0.00413588
34                  828                 0.00281044          0.000909102         5.25329e-05         0.00425519
35                  743                 0.00278178          0.000897923         5.21396e-05         0.00420649
36                  809                 0.00275692          0.000888498         5.17555e-05         0.00416607
37                  750                 0.00272978          0.000880056         5.14929e-05         0.00412252
38                  784                 0.00272706          0.000881538         5.20361e-05         0.00411902
39                  802                 0.00274548          0.000888871         5.26766e-05         0.00414482
40                  691                 0.00272682          0.000881604         5.2533e-05          0.0041133
41                  724                 0.00270456          0.000872031         5.21387e-05         0.00407647
42                  674                 0.00269732          0.000867711         5.28626e-05         0.00406049
43                  739                 0.00272175          0.000869726         5.31608e-05         0.00408296
44                  770                 0.00272096          0.000865377         5.27884e-05         0.00407383
45                  711                 0.00280688          0.000899073         5.36706e-05         0.00419588
46                  715                 0.00278821          0.00089113          5.32554e-05         0.00416255
47                  721                 0.00277685          0.000884713         5.28859e-05         0.00414036
