update_count        point_num           cluster_time        segmentation_time   match_time          total_time
1                   1002                0.00224733          0.000841986         4.052e-05           0.00332167
2                   1010                0.00222704          0.000836567         6.16105e-05         0.00517347
3                   987                 0.00218763          0.000800919         4.8376e-05          0.00454087
4                   889                 0.00211157          0.000760463         4.22193e-05         0.00412042
5                   898                 0.00207978          0.000776391         3.80904e-05         0.00393439
6                   899                 0.0020631           0.000767626         3.6149e-05          0.00380636
7                   845                 0.00202081          0.000757296         3.70211e-05         0.00366546
8                   833                 0.00198638          0.000732718         3.6426e-05          0.00353521
9                   813                 0.00194686          0.000705426         3.4486e-05          0.00342236
10                  692                 0.0018881           0.000678397         3.42505e-05         0.00329268
11                  670                 0.00184009          0.000660471         3.29231e-05         0.00318995
12                  713                 0.00181237          0.000644584         3.30285e-05         0.00311801
13                  670                 0.00178301          0.00062941          3.17248e-05         0.00304812
14                  795                 0.00177754          0.000621782         3.09639e-05         0.00301258
15                  761                 0.00176518          0.000610943         3.00724e-05         0.00297066
16                  695                 0.00173712          0.000603239         3.02998e-05         0.00291604
17                  851                 0.00174118          0.000603263         2.96518e-05         0.00290781
18                  874                 0.001749            0.00060487          2.91193e-05         0.0029054
19                  764                 0.00174087          0.000602249         2.86702e-05         0.00288153
20                  885                 0.00175472          0.000604633         2.82163e-05         0.00288837
21                  856                 0.00176074          0.000603131         2.77892e-05         0.00288422
22                  830                 0.00176359          0.000604141         2.73817e-05         0.00288061
23                  944                 0.00177873          0.000610943         2.71025e-05         0.00289679
24                  895                 0.00184346          0.000641896         2.8939e-05          0.00298636
25                  885                 0.00190926          0.000665924         3.02558e-05         0.00307922
26                  815                 0.00195868          0.000685166         3.21036e-05         0.00314302
27                  848                 0.00197618          0.000693003         3.29376e-05         0.0031619
28                  867                 0.00206035          0.000733306         3.54725e-05         0.00328799
29                  916                 0.00208979          0.000744881         3.61397e-05         0.00333301
30                  853                 0.00227451          0.000788544         3.85546e-05         0.00359712
31                  857                 0.00226727          0.000786865         3.89717e-05         0.00358371
32                  908                 0.00225873          0.000786055         3.95761e-05         0.0035696
33                  752                 0.00226763          0.000786216         4.98824e-05         0.00360377
34                  849                 0.00228731          0.000789718         5.04991e-05         0.00363153
35                  830                 0.00233433          0.000803005         5.22679e-05         0.00369673
36                  865                 0.00234476          0.000806278         5.33122e-05         0.00371432
37                  942                 0.00234973          0.00080783          5.37435e-05         0.00372
38                  885                 0.00236737          0.000815455         5.46228e-05         0.00375739
39                  960                 0.002372            0.000823226         5.51996e-05         0.00377566
40                  916                 0.00235554          0.000816937         5.47977e-05         0.00375787
41                  889                 0.0023468           0.000816121         5.46284e-05         0.00375232
42                  890                 0.00234298          0.00081513          5.47298e-05         0.00375131
