update_count        point_num           cluster_time        segmentation_time   match_time          total_time
1                   1007                0.00228842          0.000814672         3.7663e-05          0.00350296
2                   1075                0.00237812          0.00085279          5.78775e-05         0.00525361
3                   1054                0.00234087          0.000828898         4.49847e-05         0.00467535
4                   947                 0.00227235          0.000811905         3.9354e-05          0.00427561
5                   946                 0.00223569          0.000808292         3.55108e-05         0.00407731
6                   954                 0.00220921          0.000807523         3.45692e-05         0.00394388
7                   823                 0.00213056          0.000783502         3.33721e-05         0.00375875
8                   852                 0.00208833          0.000769027         3.40995e-05         0.00364355
9                   889                 0.00205946          0.000750771         3.43541e-05         0.00355468
10                  745                 0.00199885          0.000722332         3.30013e-05         0.00342679
11                  729                 0.00195195          0.000701574         3.2137e-05          0.00332638
12                  702                 0.00191217          0.000681807         3.12069e-05         0.00323696
13                  676                 0.00187225          0.000662541         3.03552e-05         0.00315484
14                  772                 0.00185763          0.000651668         3.07879e-05         0.00310932
15                  759                 0.00184107          0.000639764         2.96816e-05         0.00306353
16                  719                 0.00181012          0.000626356         2.88133e-05         0.00300331
17                  819                 0.00180487          0.00062282          2.8025e-05          0.00298148
18                  830                 0.00180382          0.000620632         2.72173e-05         0.00296628
19                  816                 0.00180349          0.000619809         2.65541e-05         0.0029536
20                  862                 0.00180833          0.000620464         2.59687e-05         0.00295042
21                  831                 0.00180886          0.000616648         2.53936e-05         0.00293784
22                  843                 0.00183592          0.000627763         2.50443e-05         0.00297349
23                  837                 0.00186557          0.000638248         2.51457e-05         0.00300902
24                  951                 0.00187941          0.000641918         2.47592e-05         0.00302071
25                  850                 0.00187884          0.00064752          2.51498e-05         0.00302109
26                  819                 0.00194533          0.000677648         2.68087e-05         0.00311576
27                  942                 0.00199071          0.000689308         2.78241e-05         0.00316764
28                  855                 0.00204385          0.000708269         2.96562e-05         0.00324023
29                  831                 0.00204987          0.000712882         3.02766e-05         0.00324769
30                  943                 0.00209166          0.000726796         3.12516e-05         0.00329813
31                  839                 0.00216676          0.000754901         3.26125e-05         0.00343081
32                  920                 0.00218989          0.000762235         3.33127e-05         0.00345819
33                  854                 0.00223611          0.000776168         3.46039e-05         0.00354627
34                  1063                0.00225229          0.000777529         3.48881e-05         0.00356235
35                  1269                0.00229071          0.000786806         3.51693e-05         0.00361271
36                  247                 0.00225127          0.000771835         3.54469e-05         0.00355098
37                  806                 0.0022559           0.000776697         3.54916e-05         0.00357348
38                  1320                0.00249845          0.000870944         3.87657e-05         0.0039355
39                  1238                0.00253102          0.000884401         3.89104e-05         0.00398501
40                  1114                0.00257868          0.000909434         3.9516e-05          0.00406368
41                  931                 0.00257069          0.000906142         3.90881e-05         0.00404775
42                  741                 0.00262385          0.000922223         3.92936e-05         0.00412032
43                  644                 0.00266041          0.000932776         3.96546e-05         0.00418927
44                  586                 0.00265443          0.000927327         3.93226e-05         0.00417089
45                  646                 0.00264824          0.000920767         3.95357e-05         0.00414961
46                  863                 0.00267944          0.000926668         4.01728e-05         0.0041847
47                  905                 0.00281434          0.00097203          4.30477e-05         0.00438369
48                  966                 0.00279953          0.00096691          4.31961e-05         0.00436767
49                  980                 0.00281829          0.000975228         4.43493e-05         0.00440007
50                  986                 0.00284291          0.000983288         4.49572e-05         0.00444114
51                  1159                0.00288021          0.000998416         4.56732e-05         0.00449661
52                  1063                0.00289049          0.000997354         4.58743e-05         0.00450659
53                  1143                0.00288865          0.000996488         4.60224e-05         0.00449961
54                  898                 0.00289322          0.00100171          4.6572e-05          0.00450593
55                  1097                0.00295518          0.00102536          4.75851e-05         0.00459709
56                  918                 0.00295331          0.00102451          4.74768e-05         0.00459268
57                  655                 0.00293786          0.0010172           4.71149e-05         0.00456432
58                  672                 0.00292119          0.00100954          4.68597e-05         0.00453741
59                  924                 0.00294938          0.00101532          4.71299e-05         0.00457143
60                  754                 0.00293218          0.00100961          4.69203e-05         0.00454443
61                  816                 0.00296535          0.00102405          4.77272e-05         0.00459839
62                  1284                0.00301332          0.00103703          4.77599e-05         0.00466011
63                  1121                0.00303608          0.00104393          4.86097e-05         0.00469036
64                  1269                0.00313802          0.00106584          4.97515e-05         0.00482633
65                  1160                0.00314402          0.00106712          5.0286e-05          0.00483126
66                  881                 0.00314923          0.00106893          5.10124e-05         0.00484867
67                  1017                0.00314388          0.00106858          5.13951e-05         0.00484071
68                  1066                0.0031592           0.00107707          5.23355e-05         0.00486338
69                  980                 0.00319291          0.00108887          5.35801e-05         0.0049224
70                  724                 0.00317585          0.00108327          5.3721e-05          0.00489898
71                  726                 0.00315785          0.0010776           5.39119e-05         0.00487547
72                  467                 0.00313037          0.0010692           5.38954e-05         0.00483755
73                  481                 0.00313932          0.00107144          5.48912e-05         0.0048583
74                  437                 0.00311222          0.00106061          5.47149e-05         0.00481512
75                  609                 0.00310644          0.001058            5.48687e-05         0.00480462
76                  933                 0.00309726          0.00105458          5.47292e-05         0.00479019
77                  1060                0.00310435          0.00105603          5.46597e-05         0.00479908
78                  1441                0.00319741          0.00109404          5.54145e-05         0.00495146
79                  1521                0.00320722          0.00109957          5.55762e-05         0.00496616
80                  1514                0.00321228          0.00110242          5.57334e-05         0.00497171
81                  1651                0.00322159          0.00110753          5.59185e-05         0.0049879
82                  1612                0.00323921          0.00111698          5.63045e-05         0.00501414
83                  1699                0.00326453          0.00112882          5.67795e-05         0.00505152
84                  1432                0.0033111           0.00115305          5.74948e-05         0.00513135
85                  1294                0.00330903          0.0011538           5.73858e-05         0.00512886
86                  1131                0.00332324          0.00116065          5.74662e-05         0.00515006
87                  929                 0.00332112          0.00115963          5.74318e-05         0.0051475
88                  1692                0.00342201          0.00120057          5.87884e-05         0.00529873
89                  1870                0.0034516           0.00121118          5.89193e-05         0.00534218
