update_count        point_num           cluster_time        segmentation_time   match_time          total_time
1                   916                 0.0027379           0.00102447          5.7048e-05          0.00405709
2                   1057                0.00258001          0.000938246         7.2836e-05          0.00541842
3                   1038                0.00401942          0.00164263          8.73273e-05         0.00740619
4                   955                 0.00377157          0.00149773          7.96887e-05         0.00666177
5                   859                 0.0035444           0.00138894          7.32088e-05         0.00614338
6                   881                 0.0033334           0.00130521          6.92327e-05         0.00572248
7                   827                 0.0036456           0.00142448          7.73443e-05         0.00613994
8                   852                 0.00341394          0.00133307          7.29621e-05         0.00572552
9                   872                 0.00385362          0.00145052          8.06227e-05         0.00637989
10                  748                 0.00361761          0.00134732          7.61025e-05         0.00596769
11                  774                 0.00371803          0.00136338          7.64765e-05         0.00607331
12                  696                 0.00356527          0.001299            7.35615e-05         0.00580258
13                  691                 0.00368955          0.00131314          7.53755e-05         0.00594764
14                  772                 0.00359251          0.00126961          7.28399e-05         0.00577164
15                  762                 0.00358314          0.00125021          7.11819e-05         0.00572053
16                  734                 0.00344703          0.00120061          6.81878e-05         0.00549776
17                  769                 0.003601            0.00126284          6.96146e-05         0.00573267
18                  820                 0.00349741          0.00122497          6.72482e-05         0.00556114
19                  821                 0.00354354          0.00124097          6.72232e-05         0.00562335
20                  841                 0.00352822          0.00123551          6.59883e-05         0.0055872
21                  915                 0.00370599          0.0012512           6.50899e-05         0.00577415
22                  839                 0.00370513          0.00125269          6.42944e-05         0.00576571
23                  803                 0.0036518           0.00123994          6.32985e-05         0.00568154
24                  949                 0.00362387          0.00122702          6.21586e-05         0.00562689
25                  855                 0.00365794          0.00123107          6.2161e-05          0.00565495
26                  879                 0.00365911          0.00122974          6.1558e-05          0.00564732
27                  922                 0.00363831          0.00122279          6.08026e-05         0.00561013
28                  842                 0.00357313          0.00120236          5.97005e-05         0.00550993
29                  966                 0.00353991          0.00118953          5.87758e-05         0.00545315
30                  897                 0.00357064          0.00119135          5.86074e-05         0.00547911
31                  661                 0.0035294           0.0011803           5.90555e-05         0.00541857
32                  863                 0.00352468          0.00117998          5.91741e-05         0.00540647
33                  955                 0.00354497          0.0011869           5.97898e-05         0.00543533
34                  901                 0.00352853          0.0011819           5.95739e-05         0.00540573
35                  945                 0.0035468           0.00120534          5.98275e-05         0.00544245
36                  1005                0.0035918           0.00123101          6.02484e-05         0.00551197
37                  987                 0.00358196          0.00123222          6.03532e-05         0.00549522
38                  988                 0.00356617          0.00123094          5.99754e-05         0.00547737
39                  884                 0.00358625          0.00124115          6.04618e-05         0.00550508
40                  935                 0.00360975          0.00125543          6.15117e-05         0.00554047
41                  1050                0.00359284          0.00125305          6.13455e-05         0.00551712
42                  1106                0.00358179          0.00125101          6.11219e-05         0.00549705
43                  932                 0.00358272          0.00125498          6.17317e-05         0.00550028
44                  987                 0.0035597           0.00124856          6.14077e-05         0.00547361
45                  985                 0.00356884          0.00125394          6.16208e-05         0.00548707
46                  933                 0.00353948          0.0012447           6.10522e-05         0.00544273
47                  1024                0.00352831          0.0012394           6.0856e-05          0.00542123
48                  983                 0.00352331          0.00123782          6.09224e-05         0.00541691
49                  922                 0.00352768          0.00123896          6.04804e-05         0.00542389
50                  1065                0.00352706          0.00123669          6.11394e-05         0.00542136
51                  1066                0.00354321          0.00124311          6.13724e-05         0.00544083
52                  1086                0.00357593          0.00126178          6.22556e-05         0.0054902
53                  928                 0.00356473          0.00125462          6.24331e-05         0.00546925
54                  730                 0.00355652          0.00125167          6.2617e-05          0.00545294
55                  841                 0.00352785          0.00124342          6.25561e-05         0.00541232
56                  859                 0.0035331           0.00124791          6.35908e-05         0.00542419
57                  1157                0.00353974          0.00124773          6.40362e-05         0.00543162
58                  1137                0.00353738          0.00124388          6.41961e-05         0.00542366
59                  1510                0.00354552          0.00124448          6.45524e-05         0.00543093
60                  1329                0.00355144          0.0012446           6.4639e-05          0.00543442
61                  1154                0.00354651          0.00124277          6.45048e-05         0.00542563
62                  2506                0.00360686          0.00125807          6.48873e-05         0.00549687
63                  2441                0.00373714          0.00129156          6.56436e-05         0.0056892
