update_count        point_num           cluster_time        segmentation_time   match_time          total_time
1                   2167                0.00413128          0.00150286          4.995e-05           0.0065764
2                   2229                0.004122            0.00147693          6.9574e-05          0.00667953
3                   2159                0.00409395          0.00143766          6.52013e-05         0.00662511
4                   2121                0.00406049          0.00142305          6.61773e-05         0.00655237
5                   2158                0.00403773          0.00142526          6.6275e-05          0.00653822
6                   2013                0.00399528          0.00139201          6.52373e-05         0.00646579
7                   2058                0.00395211          0.0013728           6.5358e-05          0.00640514
8                   2146                0.00396336          0.00137786          6.60916e-05         0.00641636
9                   2066                0.00394541          0.00137193          6.56248e-05         0.00638438
10                  2001                0.00392509          0.00136307          6.44014e-05         0.00634899
11                  1865                0.00386666          0.0013428           6.4285e-05          0.00626725
12                  1855                0.00381094          0.00132067          6.22372e-05         0.00618659
13                  1775                0.00375062          0.00130446          6.06322e-05         0.00610257
14                  1967                0.00374187          0.00130669          6.01387e-05         0.00609033
15                  2004                0.00373774          0.00130038          5.94527e-05         0.00607515
16                  1745                0.00369937          0.00128945          5.9533e-05          0.00602359
17                  1989                0.0037083           0.00132815          6.20635e-05         0.00603621
18                  1787                0.00370144          0.00135112          6.48808e-05         0.00603596
19                  1693                0.00368087          0.00136634          6.73438e-05         0.00600955
20                  1644                0.00366136          0.00136373          6.91102e-05         0.00597462
21                  1705                0.00364348          0.00136421          7.17492e-05         0.00594437
22                  1682                0.00361736          0.00136838          7.3884e-05          0.00592253
23                  1811                0.00360928          0.00137171          7.56608e-05         0.00590063
24                  2054                0.00363091          0.0013901           7.73385e-05         0.00594105
25                  2148                0.00365999          0.0014064           8.00183e-05         0.00597459
26                  2249                0.00369149          0.00142412          8.25567e-05         0.00601485
27                  2068                0.00370256          0.00143582          8.60876e-05         0.0060368
28                  2089                0.00371435          0.00144315          8.74603e-05         0.00605267
29                  2175                0.00374057          0.00146529          8.96041e-05         0.00610191
30                  2002                0.00374916          0.00147656          9.19497e-05         0.00612579
31                  1957                0.00375339          0.00148059          9.55713e-05         0.00614369
32                  2212                0.00377012          0.00149669          9.73094e-05         0.00617518
33                  1983                0.00377151          0.0015011           9.87733e-05         0.00618518
34                  1940                0.00376304          0.00150451          9.99337e-05         0.00617274
35                  2159                0.00377402          0.00151195          0.00010025          0.00618576
36                  2226                0.0037888           0.00152069          0.000101498         0.00620014
37                  2336                0.00381042          0.00153229          0.000102593         0.00622976
38                  2264                0.00382749          0.00154663          0.000105089         0.00625862
39                  2350                0.00384516          0.0015666           0.000107629         0.00628696
40                  2337                0.0038602           0.00157617          0.000108875         0.00630432
41                  2154                0.0038656           0.00158445          0.000109778         0.00631073
42                  2327                0.00388242          0.00159564          0.000110818         0.00634445
43                  2116                0.00388485          0.0016055           0.000111595         0.00634943
44                  2378                0.00390203          0.00162119          0.000112847         0.00637444
45                  1640                0.00388066          0.00161647          0.000113205         0.00634429
46                  1839                0.00386706          0.0016167           0.000113307         0.00632887
47                  2282                0.00387398          0.0016267           0.000114101         0.00635182
48                  2069                0.00387454          0.00163343          0.000115236         0.00635275
