update_count        point_num           cluster_time        segmentation_time   match_time          total_time
1                   932                 0.00203746          0.000760084         3.7231e-05          0.00304581
2                   1080                0.00226454          0.000827904         5.93225e-05         0.00513696
3                   1036                0.00226578          0.000813923         5.02273e-05         0.00459041
4                   949                 0.00221821          0.000785886         4.69698e-05         0.00420643
5                   950                 0.0021941           0.000788793         4.38076e-05         0.0040246
6                   950                 0.00217252          0.000784317         4.22498e-05         0.00388736
7                   874                 0.00212788          0.000768683         4.16394e-05         0.00373688
8                   861                 0.00209558          0.000758535         4.11194e-05         0.0036314
9                   902                 0.00206872          0.000743999         4.00819e-05         0.00354665
10                  805                 0.00202567          0.000718706         3.9534e-05          0.00344089
11                  808                 0.00199296          0.000703625         3.93979e-05         0.00336246
12                  730                 0.00195587          0.000684412         3.86613e-05         0.00327851
13                  658                 0.00190992          0.000665313         3.80728e-05         0.00318778
14                  746                 0.00188571          0.000653037         3.73371e-05         0.00313088
15                  753                 0.00186721          0.000641914         3.65156e-05         0.00308393
16                  708                 0.00183134          0.00062901          3.58971e-05         0.00301843
17                  825                 0.00182265          0.000625717         3.52354e-05         0.00299293
18                  788                 0.00181423          0.000621589         3.49529e-05         0.00296274
19                  795                 0.00180946          0.000618957         3.46376e-05         0.00294358
20                  866                 0.00181236          0.000619236         3.4349e-05          0.00293784
21                  899                 0.00182206          0.00061667          3.39658e-05         0.00293566
22                  843                 0.00182883          0.000620027         3.37175e-05         0.00293938
23                  792                 0.00182102          0.000619287         3.3699e-05          0.00292166
24                  926                 0.00193906          0.000681072         3.55518e-05         0.00310993
25                  901                 0.00230708          0.000842826         4.06104e-05         0.0037041
26                  954                 0.00233851          0.00085527          4.13739e-05         0.00374045
27                  785                 0.00254049          0.000923348         4.53476e-05         0.0040175
28                  756                 0.0026838           0.000969645         4.85278e-05         0.00421067
29                  838                 0.00272431          0.0009842           4.98906e-05         0.00426616
30                  890                 0.00284434          0.00102879          5.27989e-05         0.00444502
31                  869                 0.00284156          0.00102599          5.33553e-05         0.00443988
32                  926                 0.00307658          0.00109939          5.59903e-05         0.00475301
33                  949                 0.00312184          0.0011132           5.69502e-05         0.00481205
34                  1146                0.00311442          0.00110984          5.68602e-05         0.00479559
35                  1141                0.003364            0.00119496          6.10449e-05         0.00516803
36                  480                 0.00334568          0.00119377          6.2352e-05          0.00514444
37                  756                 0.0034627           0.00124971          6.63511e-05         0.00533213
38                  1224                0.00367028          0.00132573          6.92296e-05         0.00562685
39                  1016                0.00370866          0.0013469           7.11164e-05         0.00569121
40                  1063                0.00368147          0.00133734          7.09519e-05         0.00565001
41                  963                 0.0036924           0.00134153          7.12085e-05         0.00566347
42                  1031                0.00370884          0.00135246          7.18558e-05         0.0056917
43                  1027                0.00388922          0.00141355          7.49863e-05         0.00595819
44                  896                 0.00385791          0.00140235          7.46666e-05         0.00590725
45                  941                 0.00385654          0.00140258          7.49721e-05         0.00589933
46                  935                 0.00390165          0.00141011          7.54752e-05         0.00595415
47                  911                 0.00405044          0.00145662          7.78879e-05         0.00617846
48                  788                 0.00402833          0.00144488          7.8023e-05          0.00614002
49                  609                 0.00402203          0.0014435           7.93438e-05         0.00614149
50                  604                 0.00398627          0.00142842          7.92265e-05         0.00608039
51                  619                 0.00400067          0.00142638          7.99615e-05         0.00608414
52                  736                 0.00396164          0.0014105           7.92935e-05         0.00602152
53                  780                 0.00405274          0.0014313           8.15922e-05         0.00614805
54                  943                 0.00408648          0.00144894          8.24667e-05         0.00621156
55                  1073                0.00409117          0.00144949          8.23704e-05         0.00623076
56                  954                 0.00417756          0.00147078          8.36172e-05         0.00635486
57                  1126                0.00433405          0.00150888          8.52921e-05         0.00656095
58                  1195                0.00432117          0.00149951          8.47314e-05         0.00653533
59                  1472                0.00431661          0.00149667          8.44297e-05         0.00652156
60                  1159                0.00430321          0.00148975          8.37152e-05         0.00649869
61                  592                 0.00427292          0.0014753           8.31929e-05         0.00644427
62                  204                 0.0042446           0.00146483          8.47738e-05         0.00641252
63                  1139                0.00427034          0.00147476          8.52808e-05         0.00644728
64                  1041                0.00429169          0.00148702          8.58023e-05         0.00647854
65                  1029                0.00430268          0.00149183          8.56316e-05         0.00649517
66                  1106                0.00443699          0.00153605          8.73061e-05         0.00668878
67                  1384                0.00444146          0.00153579          8.73396e-05         0.00669143
68                  1774                0.00449587          0.00155965          8.86662e-05         0.00677416
69                  2186                0.00453704          0.00157276          8.89175e-05         0.0068301
70                  1837                0.00460697          0.00160012          9.00332e-05         0.00692811
71                  1560                0.00481231          0.00166787          9.37871e-05         0.0072333
72                  1172                0.00480442          0.0016698           9.43195e-05         0.00722821
73                  1196                0.00487569          0.00170114          9.67551e-05         
