update_count        point_num           cluster_time        segmentation_time   match_time          total_time
1                   2210                0.00437543          0.00140055          4.0147e-05          0.00686237
2                   2170                0.00429014          0.0014641           6.37035e-05         0.00680962
3                   2356                0.0044177           0.00147369          5.94193e-05         0.00695474
4                   2358                0.00447426          0.00148074          5.72688e-05         0.00703027
5                   2163                0.00438899          0.00146036          5.56146e-05         0.00690906
6                   2292                0.00438636          0.00148133          5.8365e-05          0.00693648
7                   2096                0.00434628          0.00147008          6.06104e-05         0.00688519
8                   2061                0.00426319          0.00144271          6.09893e-05         0.00677893
9                   2237                0.00428222          0.00144719          6.31588e-05         0.00678948
10                  2035                0.0042186           0.00142512          6.26809e-05         0.00670264
11                  2090                0.00419693          0.00141269          6.20528e-05         0.00667037
12                  2168                0.00419614          0.00141856          6.32106e-05         0.00666937
13                  2141                0.00418298          0.00141758          6.25918e-05         0.00665951
14                  1961                0.00414172          0.00140457          6.17273e-05         0.00660468
15                  2083                0.00413235          0.00140307          6.20354e-05         0.00658967
16                  2101                0.00412709          0.00139994          6.16426e-05         0.00657716
17                  1793                0.00407067          0.00138277          6.14941e-05         0.00649924
18                  1888                0.0040325           0.0013684           6.03275e-05         0.00644719
19                  1877                0.00401032          0.00136224          5.99195e-05         0.00641049
20                  1841                0.00397599          0.0013536           5.91022e-05         0.00636757
21                  1811                0.00393947          0.00134306          5.85205e-05         0.00631835
22                  1880                0.00392426          0.00133538          5.82222e-05         0.00629239
23                  1844                0.00389834          0.00132671          5.78861e-05         0.0062522
24                  2071                0.00403773          0.00136709          5.96597e-05         0.00646741
25                  1998                0.00403016          0.00136654          5.95821e-05         0.00645558
26                  1958                0.00409369          0.00138666          5.9884e-05          0.00655368
27                  2093                0.00414579          0.00140235          6.01476e-05         0.00662936
28                  1847                0.0041556           0.00140035          6.04914e-05         0.00663966
29                  1992                0.00430562          0.0014593           6.2546e-05          0.00687919
30                  2078                0.00430219          0.00145361          6.21949e-05         0.0068641
31                  2151                0.00438497          0.00146881          6.22895e-05         0.00696373
32                  1956                0.00443603          0.00148559          6.2561e-05          0.00703647
33                  2201                0.00445731          0.00148374          6.22168e-05         0.00705689
34                  1973                0.00449223          0.00149443          6.22211e-05         0.00711526
35                  2074                0.00450955          0.00149216          6.18421e-05         0.00712818
36                  2096                0.00450067          0.00148846          6.13215e-05         0.00711174
37                  2160                0.00462558          0.00151562          6.14799e-05         0.00728129
38                  1868                0.00461564          0.00150795          6.12431e-05         0.00726119
39                  2001                0.00464026          0.00151725          6.13894e-05         0.00730018
40                  2175                0.0046794           0.00153484          6.14758e-05         0.00736075
41                  2128                0.00472953          0.00154681          6.17651e-05         0.00743135
42                  2078                0.00480229          0.00155769          6.20864e-05         0.00752292
43                  2129                0.00485126          0.00157558          6.28839e-05         0.00759734
44                  1954                0.00483358          0.00156902          6.27572e-05         0.0075679
45                  2187                0.00482751          0.00156873          6.27568e-05         0.00755776
46                  2014                0.00480586          0.00156266          6.25412e-05         0.00752778
47                  2041                0.00479408          0.00156121          6.24565e-05         0.00751377
48                  2241                0.00480875          0.00157005          6.25175e-05         0.00754316
49                  2219                0.00483459          0.00157749          6.2766e-05          0.00758113
50                  2155                0.0048406           0.00157809          6.28765e-05         0.00758794
51                  2321                0.00484617          0.00157549          6.25204e-05         0.00758992
52                  2402                0.00488773          0.001591            6.25569e-05         0.00765883
53                  2212                0.00496778          0.00161284          6.31412e-05         0.00778046
54                  2327                0.00505576          0.00164692          6.41399e-05         0.0079238
55                  2364                0.0050654           0.00164875          6.40577e-05         0.00793524
56                  2312                0.00506908          0.00165108          6.40602e-05         0.00794364
57                  2366                0.00508228          0.00165818          6.41084e-05         0.00796859
58                  2363                0.00511906          0.00167319          6.42496e-05         0.00803284
59                  2324                0.00517829          0.00169216          6.49948e-05         0.0081259
60                  2473                0.00517275          0.0016931           6.48859e-05         0.0081203
61                  2507                0.00522261          0.00170611          6.50854e-05         0.0081874
62                  2392                0.00531197          0.00174145          6.59477e-05         0.0083354
63                  2444                0.0053048           0.00174485          6.57611e-05         0.00833382
64                  2491                0.005352            0.00176576          6.60551e-05         0.00841712
65                  2440                0.00540568          0.0017773           6.60386e-05         0.00848719
66                  2428                0.0054637           0.00180225          6.63823e-05         0.00857568
67                  2448                0.00546333          0.00180195          6.61357e-05         0.00857549
68                  2532                0.00549275          0.00181811          6.6394e-05          0.00862774
69                  2320                0.00549398          0.00181545          6.62412e-05         0.00862302
70                  2449                0.00551086          0.00182489          6.6279e-05          0.00865558
71                  2549                0.00558035          0.00184003          6.62461e-05         0.00874634
72                  2269                0.00558556          0.00184528          6.61317e-05         0.00876046
73                  2511                0.00557946          0.00184238          6.58868e-05         0.00875021
74                  2583                0.00559079          0.00185215          6.58253e-05         0.00877385
75                  2375                0.00561906          0.00186162          6.57917e-05         0.00881333
76                  2598                0.00561146          0.00186133          6.55711e-05         0.00880416
77                  2511                0.00561635          0.00186503          6.54904e-05         0.00881785
78                  2530                0.00564783          0.00187047          6.56104e-05         0.00885734
79                  2513                0.00567344          0.00187891          6.57393e-05         0.0088986
80                  2649                0.00570353          0.00189485          6.58213e-05         0.00894673
81                  2520                0.00569759          0.00189814          6.57019e-05         0.0089429
82                  2583                0.00569097          0.00189838          6.54852e-05         0.00893501
83                  2532                0.00569721          0.00190084          6.53845e-05         0.00894522
84                  2336                0.00570347          0.00190529          6.54426e-05         0.00895855
85                  2597                0.00570182          0.0019058           6.52949e-05         0.00895523
86                  2341                0.00568763          0.00190434          6.51418e-05         0.00893657
87                  2460                0.00567733          0.00190484          6.49556e-05         0.0089251
88                  2548                0.00567549          0.00190754          6.48078e-05         0.00892532
89                  2494                0.00566835          0.00190762          6.46615e-05         0.00891654
90                  2437                0.00565688          0.00190774          6.44489e-05         0.00890377
91                  2399                0.00569374          0.00192416          6.47073e-05         0.00896849
92                  2532                0.00569686          0.00192802          6.45104e-05         0.00897648
93                  2423                0.00569573          0.00192917          6.42754e-05         0.00897509
94                  2507                0.00570578          0.00193156          6.41878e-05         0.00898576
95                  2570                0.00570964          0.0019367           6.41275e-05         0.00899496
96                  2289                0.00572284          0.00194478          6.40982e-05         0.0090206
97                  2334                0.00573864          0.00195195          6.40518e-05         0.00904777
98                  2501                0.0057594           0.00195955          6.39973e-05         0.00908037
99                  2553                0.00578644          0.00196659          6.38966e-05         0.00911345
100                 2489                0.00580768          0.00197542          6.37825e-05         0.00914842
101                 2397                0.00582703          0.00198386          6.38942e-05         0.00917859
102                 2477                0.00583054          0.00198717          6.37088e-05         0.0091862
103                 2299                0.0058316           0.00198952          6.35545e-05         0.00919
104                 2208                0.00582941          0.00198995          6.34844e-05         0.00918741
105                 2316                0.00583515          0.00199357          6.35034e-05         0.00919915
106                 2461                0.00582843          0.00199183          6.33851e-05         0.00918734
