update_count        point_num           cluster_time        segmentation_time   match_time          total_time
1                   918                 0.00202131          0.000727035         4.1293e-05          0.0029539
2                   1075                0.00223751          0.000823845         6.2895e-05          0.00499101
3                   988                 0.00220082          0.000803804         5.324e-05           0.00443418
4                   889                 0.00212446          0.000772398         5.0269e-05          0.00403638
5                   955                 0.00212765          0.000774894         4.7172e-05          0.00389321
6                   906                 0.0020897           0.000767558         4.604e-05           0.0037533
7                   816                 0.00202969          0.000753004         4.50077e-05         0.00359921
8                   863                 0.00200257          0.000742366         4.49346e-05         0.00349999
9                   914                 0.00199655          0.00073265          4.39582e-05         0.00344443
10                  796                 0.00195736          0.000708159         4.3522e-05          0.00334447
11                  809                 0.00193091          0.000694965         4.27439e-05         0.00327577
12                  737                 0.00190001          0.00067615          4.19834e-05         0.0031997
13                  654                 0.00185812          0.000658095         4.12755e-05         0.00311533
14                  740                 0.00183716          0.00064696          4.05139e-05         0.00306418
15                  764                 0.00182589          0.000636601         3.97818e-05         0.00302539
16                  714                 0.00179569          0.000623983         3.91808e-05         0.00296546
17                  772                 0.00178409          0.00061788          3.83733e-05         0.00293329
18                  782                 0.00177501          0.000613701         3.79204e-05         0.00290343
19                  825                 0.00177585          0.000612549         3.74845e-05         0.00289337
20                  865                 0.00178502          0.000614087         3.70664e-05         0.00289534
21                  826                 0.00180986          0.00061618          3.70668e-05         0.00291815
22                  816                 0.00195946          0.000669009         3.88694e-05         0.00313653
23                  860                 0.00204461          0.000685233         3.93407e-05         0.00324187
24                  862                 0.00212882          0.000699233         3.93388e-05         0.00333893
25                  897                 0.00220281          0.000726004         3.96729e-05         0.003444
26                  929                 0.00222522          0.000731594         3.96522e-05         0.00346657
27                  943                 0.00235698          0.000786119         4.1692e-05          0.00366715
28                  846                 0.00244726          0.00081283          4.30105e-05         0.00378963
29                  931                 0.0025678           0.000846487         4.43617e-05         0.0039682
30                  888                 0.00260943          0.000858928         4.47618e-05         0.00402636
31                  784                 0.0027268           0.000900673         4.77946e-05         0.00420253
32                  920                 0.00284866          0.000927929         4.91595e-05         0.0043677
33                  986                 0.00285874          0.000933771         4.88292e-05         0.00438248
34                  974                 0.00283772          0.000929431         4.84448e-05         0.0043492
35                  934                 0.00283753          0.000947319         4.8733e-05          0.00436242
36                  777                 0.00291646          0.00100904          5.22679e-05         0.00451295
37                  934                 0.00291821          0.00101366          5.24471e-05         0.00451487
38                  963                 0.00306597          0.00106657          5.47046e-05         0.00472858
39                  1009                0.00305763          0.00106574          5.47263e-05         0.00471766
40                  937                 0.00308747          0.00107585          5.57983e-05         0.00476178
41                  897                 0.00314089          0.0010994           5.71272e-05         0.00485014
42                  1033                0.00312814          0.00109524          5.70479e-05         0.00482666
43                  1037                0.00311111          0.00108773          5.69573e-05         0.00479693
44                  1160                0.00312869          0.00110021          5.74467e-05         0.00482536
45                  1002                0.00317281          0.00111809          5.86784e-05         0.00489196
46                  1055                0.00320581          0.00113363          6.00602e-05         0.00494475
47                  1124                0.00321828          0.00113731          6.05523e-05         0.00496034
48                  1192                0.00329578          0.00116621          6.21878e-05         0.00507128
49                  1141                0.00330555          0.00117738          6.26398e-05         0.00508933
50                  1262                0.00335572          0.00119634          6.35707e-05         0.00515608
51                  1342                0.00336044          0.00119723          6.61558e-05         0.00515722
52                  1394                0.00343471          0.00122109          6.73159e-05         0.0052576
53                  1618                0.0034993           0.0012431           6.81316e-05         0.0053472
54                  988                 0.00352134          0.00125058          6.94115e-05         0.00538533
55                  766                 0.00359214          0.00130013          7.17254e-05         0.00550982
56                  1056                0.00359799          0.0013034           7.24117e-05         0.00552506
57                  1273                0.0038091           0.00136654          7.60987e-05         0.00581504
58                  1780                0.00383326          0.00137172          7.63295e-05         0.00584231
59                  1814                0.00386081          0.00137742          7.64347e-05         0.0058721
60                  1611                0.00386939          0.00137721          7.6316e-05          0.0058821
61                  1787                0.00388889          0.00138244          7.62299e-05         0.00590452
62                  1904                0.00391547          0.00138956          7.63524e-05         0.00593501
63                  1827                0.00393526          0.00139474          7.63692e-05         0.00595741
64                  1914                0.0039614           0.00140143          7.6385e-05          0.00598709
65                  1853                0.00398265          0.00140604          7.65163e-05         0.00601107
66                  1716                0.00400614          0.00141876          7.72052e-05         0.0060466
67                  1720                0.00402226          0.00142253          7.70251e-05         0.00606407
68                  1276                0.00405874          0.00143398          7.72677e-05         0.00611302
69                  855                 0.00407394          0.00143565          7.75179e-05         0.00613431
70                  993                 0.00414638          0.00145774          7.86033e-05         0.00622841
71                  1711                0.00415782          0.00146377          7.86692e-05         0.0062417
72                  1750                0.00416982          0.00146685          7.84246e-05         0.00625872
73                  1864                0.00430912          0.00151898          7.94e-05            0.00645687
