update_count        point_num           cluster_time        segmentation_time   match_time          total_time
1                   1041                0.00949847          0.0150258           0.000153649         0.02533
2                   924                 0.00761033          0.0120925           0.000183796         0.0254254
3                   865                 0.00613985          0.00989823          0.000146081         0.0200007
4                   949                 0.00678104          0.0102087           0.00014972          0.0201957
5                   880                 0.00699931          0.0105944           0.000146919         0.0203429
6                   905                 0.00630615          0.0094754           0.000133145         0.0181413
7                   732                 0.00584095          0.00877441          0.000125808         0.0167087
8                   737                 0.00593703          0.00887352          0.000130144         0.0167869
9                   779                 0.00559081          0.00834113          0.000122016         0.0157427
10                  751                 0.00533072          0.00792506          0.000116541         0.0149372
11                  719                 0.00511797          0.00755424          0.000111476         0.0142424
12                  827                 0.00529254          0.00787649          0.000112732         0.0147042
13                  814                 0.00513064          0.00767186          0.000108792         0.0142552
14                  797                 0.00494656          0.00737632          0.000103877         0.0136943
15                  866                 0.00483013          0.00725012          0.000101155         0.0133971
16                  808                 0.00476105          0.00710956          9.89099e-05         0.0131259
17                  948                 0.00466056          0.0069599           9.62092e-05         0.0128271
18                  910                 0.00456746          0.00685068          9.44636e-05         0.0125841
19                  894                 0.00448363          0.006726            9.27473e-05         0.0123313
20                  899                 0.00469547          0.00699057          9.51888e-05         0.0128055
21                  848                 0.00482761          0.00717636          9.83483e-05         0.0131121
22                  959                 0.00470103          0.00698033          9.56714e-05         0.012753
23                  935                 0.00458031          0.00681758          9.35073e-05         0.0124341
24                  821                 0.00445436          0.00664488          9.15476e-05         0.0121018
25                  906                 0.00442895          0.00661977          9.22221e-05         0.0120329
26                  774                 0.00454058          0.00680203          9.56925e-05         0.012334
27                  831                 0.0044586           0.00666574          9.41921e-05         0.0120883
28                  960                 0.00449962          0.00676038          9.55243e-05         0.0122166
29                  849                 0.00443207          0.00667427          9.4697e-05          0.0120479
30                  782                 0.00456235          0.00683686          9.83565e-05         0.0123447
31                  784                 0.00448293          0.00671756          9.70953e-05         0.0121306
32                  1135                0.00443123          0.00663205          9.56018e-05         0.0119802
33                  1267                0.00472925          0.00693219          9.67128e-05         0.0125819
34                  1199                0.0046664           0.00684553          9.52652e-05         0.0124227
35                  1176                0.00463049          0.00682884          9.47242e-05         0.0123651
36                  1439                0.00459976          0.00679052          9.36336e-05         0.0122886
37                  1438                0.00459757          0.00680918          9.35708e-05         0.012299
38                  1757                0.00460126          0.00679394          9.31482e-05         0.0122748
39                  1838                0.00461021          0.00679521          9.29171e-05         0.0122737
40                  1576                0.0045988           0.00681868          9.25958e-05         0.0122729
41                  1647                0.00459894          0.00680581          9.22719e-05         0.0122521
42                  1568                0.00459869          0.00678721          9.1811e-05          0.01222
43                  1429                0.00458394          0.0067515           9.13422e-05         0.0121604
44                  1513                0.00457786          0.00672911          9.07991e-05         0.0121298
45                  1598                0.00457895          0.00671709          9.01135e-05         0.0121102
