update_count        point_num           cluster_time        segmentation_time   match_time          total_time
1                   2107                0.00394851          0.00137865          4.0353e-05          0.00636361
2                   2365                0.00432228          0.00145023          6.40335e-05         0.00683052
3                   2357                0.00446232          0.0015196           6.72653e-05         0.00705287
4                   2176                0.00437283          0.00150651          6.5724e-05          0.00693248
5                   2276                0.00438183          0.00151754          6.76672e-05         0.00697808
6                   2240                0.00439692          0.00150162          6.62302e-05         0.00699539
7                   1921                0.00425366          0.00145231          6.53967e-05         0.00680559
8                   2251                0.00426755          0.00145431          6.49376e-05         0.00681706
9                   2188                0.00425331          0.0014523           6.52023e-05         0.00680643
10                  2097                0.00422446          0.0014386           6.37567e-05         0.00675573
11                  2130                0.00421088          0.00143141          6.33507e-05         0.00673447
12                  2095                0.00418513          0.00142657          6.1936e-05          0.00669951
13                  1840                0.00410939          0.00140333          6.07255e-05         0.00659274
14                  1961                0.00407584          0.00139319          5.97807e-05         0.00654552
15                  2143                0.00408006          0.00139932          6.00274e-05         0.00654771
