update_count   point_num cluster_time   segmentation_time   match_time          total_time
96             2404      0.00650537     0.0101671           0.000173519         0.0173431
97             2598      0.00648892     0.010148            0.00017304          0.017307
98             2556      0.00647177     0.0101271           0.00017281          0.0172681
99             2535      0.00645415     0.0101077           0.000172384         0.0172297
100            2615      0.00643886     0.0100896           0.000172181         0.0171966
101            2379      0.00641818     0.010064            0.000171822         0.0171496
102            2486      0.00639993     0.0100531           0.000171495         0.0171191
103            2511      0.00638406     0.0100326           0.000171113         0.0170822
104            2584      0.00636995     0.0100189           0.00017076          0.0170532
105            2444      0.00635198     0.0100003           0.000170372         0.0170155
106            2631      0.00633987     0.00998779          0.000170048         0.0169904
107            2556      0.00632684     0.00997101          0.000169585         0.01696
108            2513      0.00631201     0.00995591          0.000169142         0.0169298
109            2555      0.00630027     0.00994371          0.000168674         0.0169059
110            2584      0.006289       0.00993119          0.000168165         0.0168825
111            2451      0.00627488     0.00992415          0.000167823         0.0168592
112            2532      0.00626359     0.00991942          0.000167516         0.0168414
113            2502      0.00625101     0.00991494          0.000167378         0.0168229
114            2519      0.00623965     0.00989762          0.00016699          0.0167932
115            2414      0.00622593     0.00988078          0.000166916         0.0167621
116            2624      0.00621778     0.00987225          0.000166871         0.0167439
117            2312      0.00620749     0.00986784          0.000166904         0.01673
118            2496      0.00619984     0.00986036          0.000166766         0.0167147
119            2568      0.0062119      0.00988575          0.000166991         0.0167525
120            2542      0.00620794     0.00988243          0.000166754         0.0167449
121            2588      0.00620078     0.00986976          0.000166373         0.0167246
122            2407      0.00622697     0.00991688          0.000166906         0.0168012
123            2494      0.00622372     0.00992646          0.000166839         0.0168081
124            2677      0.0062215      0.00992164          0.000166489         0.0168009
125            2534      0.00621165     0.00991324          0.000166171         0.0167827
126            2526      0.00620891     0.00992436          0.000166042         0.0167914
127            2659      0.00621688     0.00994192          0.000166008         0.0168181
128            2591      0.00621684     0.0099427           0.000165718         0.0168198
129            2483      0.00621929     0.00994532          0.000165385         0.0168254
130            2537      0.00634467     0.0100017           0.000165605         0.0170091
131            2673      0.00634622     0.010009            0.000165348         0.0170187
132            2417      0.00633518     0.00999493          0.000164985         0.0169942
133            2782      0.00634219     0.0100106           0.000164759         0.0170167
134            2699      0.00638769     0.0100302           0.000164544         0.0170814
