update_count        point_num           cluster_time        segmentation_time   match_time          total_time
1                   2095                0.00384074          0.00139877          5.0069e-05          0.00631292
2                   2261                0.00404712          0.00142911          6.6653e-05          0.00657304
3                   2215                0.004102            0.00141339          6.2679e-05          0.00659079
4                   2089                0.00404259          0.00139024          5.8676e-05          0.0065062
5                   2201                0.00405234          0.00141523          5.92838e-05         0.00655675
6                   1949                0.00397363          0.00136685          5.808e-05           0.0064212
7                   1899                0.00386681          0.00133058          5.79319e-05         0.00628372
8                   2019                0.00383905          0.00132467          5.85665e-05         0.00622682
9                   2117                0.00384884          0.00132627          5.87324e-05         0.00623714
10                  2007                0.00382949          0.00132444          5.93072e-05         0.00620506
11                  2052                0.00383068          0.00131888          5.98884e-05         0.0061961
12                  2031                0.00382155          0.00130948          5.90365e-05         0.00618088
13                  1932                0.00379265          0.00129794          5.90976e-05         0.00613683
14                  2005                0.00378769          0.00129766          5.81644e-05         0.00613029
15                  2048                0.00379697          0.0012985           5.81531e-05         0.00613352
16                  1907                0.00377873          0.00129627          5.75202e-05         0.00610993
17                  1789                0.00373817          0.00128455          5.6716e-05          0.00605185
18                  1935                0.00372864          0.00128563          5.58958e-05         0.00604436
19                  1703                0.0036899           0.00127989          5.54114e-05         0.0059975
20                  1881                0.00368103          0.00128079          5.47003e-05         0.0059881
21                  1879                0.00368117          0.00127691          5.42769e-05         0.00597998
22                  1828                0.00366786          0.00127679          5.45418e-05         0.00596577
23                  1997                0.00366758          0.00127438          5.42733e-05         0.00595664
24                  2028                0.003754            0.00130373          5.49621e-05         0.0060862
25                  1931                0.00389739          0.00134496          5.59798e-05         0.0063044
26                  1908                0.00391265          0.00135024          5.58595e-05         0.00632815
27                  1989                0.00404208          0.00139142          5.67487e-05         0.00652822
28                  1768                0.00404435          0.00139501          5.68931e-05         0.00653466
29                  1849                0.00406466          0.00139594          5.70568e-05         0.00655298
30                  1967                0.00405462          0.00139885          5.70215e-05         0.00653802
31                  1900                0.00405381          0.00141742          5.78412e-05         0.00654081
32                  1694                0.00404269          0.00142274          5.87714e-05         0.00651906
33                  1911                0.00403543          0.00143284          6.04836e-05         0.00650667
34                  1809                0.00402417          0.00143486          6.24051e-05         0.00648339
35                  1954                0.00402335          0.00144395          6.40209e-05         0.00648068
36                  2152                0.00403378          0.00145695          6.51645e-05         0.00650405
37                  2011                0.00404087          0.00146792          6.64052e-05         0.00651458
38                  2044                0.00404284          0.00147574          6.73473e-05         0.00652056
39                  2004                0.00405093          0.00148244          6.93024e-05         0.00652544
40                  1474                0.00402283          0.00147453          6.95362e-05         0.00648086
41                  1951                0.00402747          0.00148152          7.01201e-05         0.00649048
42                  2301                0.0040471           0.00149445          7.08416e-05         0.00651502
43                  2143                0.0040606           0.00150699          7.29504e-05         0.00653817
44                  1880                0.00406159          0.00150865          7.37829e-05         0.00653506
45                  2081                0.00406818          0.00151679          7.44438e-05         0.00654434
46                  2322                0.00408334          0.00152926          7.54559e-05         0.00656697
47                  2329                0.00410076          0.00154149          7.6406e-05          0.00659529
48                  2463                0.00411879          0.00155745          7.79687e-05         0.00662655
49                  2516                0.00415817          0.00157099          7.90774e-05         0.00667692
50                  2460                0.0041806           0.00158621          7.99951e-05         0.00671195
51                  2428                0.00420246          0.00160314          8.14544e-05         0.00674561
52                  2508                0.00422359          0.00161698          8.27448e-05         0.00677399
53                  2312                0.00423327          0.00162646          8.40988e-05         0.00679325
54                  2356                0.00424503          0.00163274          8.45719e-05         0.00680873
55                  2476                0.00426593          0.00164305          8.52266e-05         0.00683808
56                  2406                0.00429065          0.00165117          8.6372e-05          0.00686736
57                  2177                0.00429437          0.00165769          8.68828e-05         0.00687663
58                  2601                0.0043196           0.00167132          8.78459e-05         0.00691221
59                  2056                0.00431397          0.00167553          8.83921e-05         0.00690729
60                  2330                0.00432226          0.00168399          8.91468e-05         0.00692045
61                  2568                0.00434169          0.00169389          8.97245e-05         0.00694673
62                  2475                0.00435375          0.00170452          9.03575e-05         0.00696547
63                  2551                0.00437045          0.00171621          9.08679e-05         0.00699176
64                  2401                0.0043804           0.00172307          9.08571e-05         0.00700874
