update_count        point_num           cluster_time        segmentation_time   match_time          total_time
1                   2271                0.00450415          0.00154176          4.322e-05           0.0071034
2                   2308                0.00445556          0.0015007           6.31765e-05         0.00704071
3                   2068                0.00426112          0.00142777          5.90877e-05         0.006746
4                   2154                0.00421625          0.0014151           5.74042e-05         0.00666064
5                   2297                0.00424598          0.00145043          5.89606e-05         0.00676526
6                   2242                0.00428531          0.00145222          5.99038e-05         0.00681115
7                   2109                0.00423164          0.00143619          6.13264e-05         0.00674111
8                   2226                0.00422987          0.00144473          6.2919e-05          0.00673886
9                   2193                0.00422461          0.00144298          6.28119e-05         0.00674189
10                  1878                0.00414577          0.00141465          6.20911e-05         0.00662503
11                  1923                0.00409708          0.00140216          6.15425e-05         0.00655301
12                  2052                0.00406946          0.00139219          5.98727e-05         0.00651605
13                  1972                0.00402851          0.00137691          5.82793e-05         0.00645986
14                  1949                0.00400172          0.0013684           5.76704e-05         0.00641694
15                  2066                0.00399023          0.00136528          5.70393e-05         0.00640022
16                  1943                0.0039669           0.00136343          5.63118e-05         0.00637943
17                  1991                0.00395685          0.00135896          5.55949e-05         0.00636287
18                  1797                0.00391314          0.00135515          5.513e-05           0.00630927
19                  1738                0.00386457          0.00134572          5.43913e-05         0.00624735
20                  2031                0.00386826          0.00134539          5.4008e-05          0.00624813
21                  2040                0.00387415          0.00134819          5.37134e-05         0.00625879
22                  2001                0.00386561          0.00134532          5.30805e-05         0.00624536
23                  1933                0.00385108          0.00133921          5.24351e-05         0.00622157
24                  1911                0.00389192          0.00136213          5.30563e-05         0.00629512
25                  2018                0.00391245          0.00136723          5.30834e-05         0.00632281
26                  2057                0.00397397          0.00138185          5.32235e-05         0.00641033
27                  1920                0.00405941          0.00140329          5.40587e-05         0.00654836
28                  1927                0.00407903          0.00141473          5.4464e-05          0.00658196
29                  2134                0.00413773          0.00142866          5.47602e-05         0.00665666
30                  2168                0.00418986          0.00144158          5.47556e-05         0.00672398
31                  2129                0.0042766           0.00146844          5.52354e-05         0.006851
32                  2158                0.00433124          0.00148851          5.55391e-05         0.00693149
33                  2152                0.00433137          0.00148533          5.51592e-05         0.00692358
34                  2022                0.00435176          0.00149068          5.52581e-05         0.00695123
35                  2134                0.00436908          0.00148862          5.50269e-05         0.0069661
36                  2155                0.00443473          0.00150563          5.53316e-05         0.00705598
37                  2036                0.00445651          0.00151262          5.54801e-05         0.00708554
38                  2170                0.00450533          0.00152756          5.57151e-05         0.00715815
39                  2211                0.00451978          0.00152887          5.57621e-05         0.00717385
40                  2094                0.00454026          0.00153695          5.59045e-05         0.00720593
41                  2159                0.00457758          0.00154712          5.6445e-05          0.00725468
42                  2115                0.00457065          0.00154587          5.64783e-05         0.00724248
43                  2109                0.00456979          0.00154802          5.65355e-05         0.00724349
44                  2154                0.00456978          0.00154518          5.65907e-05         0.00723621
45                  2038                0.00455142          0.00154134          5.64889e-05         0.00721124
46                  2190                0.00454324          0.00154263          5.66152e-05         0.00720307
47                  2292                0.00454308          0.00154184          5.64646e-05         0.00720067
48                  2025                0.00454061          0.0015421           5.65539e-05         0.00720093
49                  2189                0.00453166          0.00153916          5.63495e-05         0.00718692
50                  2385                0.00455206          0.0015436           5.62156e-05         0.00721547
51                  2427                0.00455376          0.00154596          5.595e-05           0.00722132
52                  2267                0.00457312          0.00155392          5.59737e-05         0.0072546
53                  2127                0.00458712          0.00156085          5.60433e-05         0.00728112
54                  2410                0.00463081          0.0015731           5.62145e-05         0.00734493
55                  2321                0.00465145          0.00157897          5.61142e-05         0.00737793
56                  2389                0.00469565          0.00159678          5.62347e-05         0.00744822
57                  2474                0.00472378          0.00160728          5.64504e-05         0.00749485
58                  2337                0.00473946          0.00161118          5.65467e-05         0.00751833
59                  2222                0.0047438           0.00161099          5.67586e-05         0.00752386
60                  2518                0.00479299          0.00162906          6.41853e-05         0.0076066
61                  2405                0.00482463          0.00164504          6.42983e-05         0.00766139
